eval,holdout_ood_type,method,layer,n_train,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
leave_one_ood_type_out,python,mahalanobis,5.0,150480,20840,0.6628406641270966,0.7051910407654447,,,,0.21415441176470587
leave_one_ood_type_out,python,standardized_activation_norm,5.0,150480,20840,0.3871885012476376,0.5059315553748259,,,,0.12610294117647058
leave_one_ood_type_out,repetition,entropy,,149680,19680,0.5049418300775117,0.5097313654041138,,,,0.04094650205761317
leave_one_ood_type_out,repetition,neg_max_prob,,149680,19680,0.4861189097955608,0.4825420082870859,,,,0.0034979423868312758
leave_one_ood_type_out,repetition,loss,,149680,19680,0.4972112627464591,0.4875961736193407,,,,0.03230452674897119
leave_one_ood_type_out,repetition,deterministic_logistic,0.0,149680,19680,0.601423130794784,0.5660036463459213,0.24291854845282163,0.6776459410752846,0.08216642006659611,0.09032921810699589
leave_one_ood_type_out,repetition,laplace_predictive_mean,0.0,149680,19680,0.600449927281141,0.5654278686206324,0.24308875837090038,0.6779984540809223,0.08176589625758855,0.08981481481481482
leave_one_ood_type_out,repetition,ridge_classifier,0.0,149680,19680,0.6116295790156511,0.572406523548091,,,,0.09032921810699589
leave_one_ood_type_out,repetition,mahalanobis,0.0,149680,19680,0.48518117738443484,0.4748836995993022,,,,0.005452674897119342
leave_one_ood_type_out,repetition,standardized_activation_norm,0.0,149680,19680,0.46412921232254123,0.47298565962378425,,,,0.048662551440329216
leave_one_ood_type_out,repetition,deterministic_logistic,1.0,149680,19680,0.5015471453716099,0.4760156973075225,0.3495157619756791,1.0253897068367113,0.2790326666614881,0.014917695473251029
leave_one_ood_type_out,repetition,laplace_predictive_mean,1.0,149680,19680,0.5009200949890096,0.47551388686958396,0.3496487316336115,1.0254489608210169,0.27911230447577645,0.015123456790123457
leave_one_ood_type_out,repetition,ridge_classifier,1.0,149680,19680,0.49404520861222667,0.4723765547685217,,,,0.0102880658436214
leave_one_ood_type_out,repetition,mahalanobis,1.0,149680,19680,0.5189994752673245,0.48693106277202663,,,,0.022222222222222223
leave_one_ood_type_out,repetition,standardized_activation_norm,1.0,149680,19680,0.4511045003057498,0.4769514708573327,,,,0.08713991769547325
leave_one_ood_type_out,repetition,deterministic_logistic,2.0,149680,19680,0.6465435197580445,0.6015842776514722,0.2722170717669942,0.7959442938430449,0.17247026568441504,0.0867283950617284
leave_one_ood_type_out,repetition,laplace_predictive_mean,2.0,149680,19680,0.6460819460971458,0.6013419134287212,0.27231033420812534,0.796012992479386,0.17242688787014415,0.0874485596707819
leave_one_ood_type_out,repetition,ridge_classifier,2.0,149680,19680,0.6414054365610591,0.6004460341118072,,,,0.08323045267489712
leave_one_ood_type_out,repetition,mahalanobis,2.0,149680,19680,0.5044500016527014,0.4748606869638638,,,,0.02397119341563786
leave_one_ood_type_out,repetition,standardized_activation_norm,2.0,149680,19680,0.4141823105177913,0.46094687547602575,,,,0.08261316872427983
leave_one_ood_type_out,repetition,deterministic_logistic,3.0,149680,19680,0.659136876725007,0.650959909959518,0.2608047949853563,0.7708340711462085,0.14390708384469986,0.1765432098765432
leave_one_ood_type_out,repetition,laplace_predictive_mean,3.0,149680,19680,0.658518709612111,0.650926645047861,0.2609555857207002,0.7711990176627683,0.14397616373209188,0.17664609053497943
leave_one_ood_type_out,repetition,ridge_classifier,3.0,149680,19680,0.6598812843968467,0.6551229435514496,,,,0.18765432098765433
leave_one_ood_type_out,repetition,mahalanobis,3.0,149680,19680,0.5039756557092567,0.4699541670006188,,,,0.023868312757201648
leave_one_ood_type_out,repetition,standardized_activation_norm,3.0,149680,19680,0.45374926144908856,0.4692722746745674,,,,0.060082304526748974
leave_one_ood_type_out,repetition,deterministic_logistic,4.0,149680,19680,0.6500679156957047,0.649517712310594,0.26927568262795665,0.7983632949680612,0.17626986504625192,0.17664609053497943
leave_one_ood_type_out,repetition,laplace_predictive_mean,4.0,149680,19680,0.649660550638769,0.6493508433161361,0.2693249526528324,0.7983848884198571,0.17484437986819487,0.17644032921810698
leave_one_ood_type_out,repetition,ridge_classifier,4.0,149680,19680,0.6546874122002413,0.6557341045858404,,,,0.19269547325102881
leave_one_ood_type_out,repetition,mahalanobis,4.0,149680,19680,0.49247931024509556,0.458531828528135,,,,0.020781893004115225
leave_one_ood_type_out,repetition,standardized_activation_norm,4.0,149680,19680,0.46827665084205133,0.4732239259083783,,,,0.04465020576131687
leave_one_ood_type_out,repetition,deterministic_logistic,5.0,149680,19680,0.6901116503049234,0.7107900729584746,0.2500821053436454,0.7365684880931576,0.1678071244372973,0.2741769547325103
leave_one_ood_type_out,repetition,laplace_predictive_mean,5.0,149680,19680,0.6894226184573685,0.7103286035944965,0.2502827207566223,0.7372356242607268,0.16750151024240129,0.27242798353909464
leave_one_ood_type_out,repetition,ridge_classifier,5.0,149680,19680,0.6844687546482227,0.7069592697481275,,,,0.2637860082304527
leave_one_ood_type_out,repetition,mahalanobis,5.0,149680,19680,0.4930960570677773,0.46489289470301076,,,,0.0102880658436214
leave_one_ood_type_out,repetition,standardized_activation_norm,5.0,149680,19680,0.5237589865635381,0.49777748282373924,,,,0.03806584362139918
leave_one_ood_type_out,word_shuffle,entropy,,150640,19200,0.5536420519741303,0.5286622541411553,,,,0.07846320346320346
leave_one_ood_type_out,word_shuffle,neg_max_prob,,150640,19200,0.5519017737617136,0.5128230684678807,,,,0.05551948051948052
leave_one_ood_type_out,word_shuffle,loss,,150640,19200,0.6290165695248526,0.6003592584397952,,,,0.1288961038961039
leave_one_ood_type_out,word_shuffle,deterministic_logistic,0.0,150640,19200,0.5273514784245206,0.516224827625189,0.28685049653243394,0.8050922772902759,0.16463646562525788,0.07900432900432901
leave_one_ood_type_out,word_shuffle,laplace_predictive_mean,0.0,150640,19200,0.5273812620612319,0.5161244941804682,0.2867193365959665,0.8046067528733907,0.16478317617168314,0.07857142857142857
leave_one_ood_type_out,word_shuffle,ridge_classifier,0.0,150640,19200,0.5282211638762844,0.5152782824743156,,,,0.0775974025974026
leave_one_ood_type_out,word_shuffle,mahalanobis,0.0,150640,19200,0.5362933172082268,0.5151064004322289,,,,0.07261904761904762
leave_one_ood_type_out,word_shuffle,standardized_activation_norm,0.0,150640,19200,0.503826501895026,0.4826883606260359,,,,0.042316017316017314
leave_one_ood_type_out,word_shuffle,deterministic_logistic,1.0,150640,19200,0.6857902986404492,0.6647940896004862,0.25427011819489265,0.7833093544814473,0.15879531943487538,0.17153679653679654
leave_one_ood_type_out,word_shuffle,laplace_predictive_mean,1.0,150640,19200,0.6857318614283976,0.6646141486214208,0.2541780635216713,0.7826320663874023,0.15841309564325876,0.1712121212121212
leave_one_ood_type_out,word_shuffle,ridge_classifier,1.0,150640,19200,0.6925112571498113,0.6725210837973243,,,,0.18441558441558442
leave_one_ood_type_out,word_shuffle,mahalanobis,1.0,150640,19200,0.5653584304751473,0.5317428927958462,,,,0.08062770562770563
leave_one_ood_type_out,word_shuffle,standardized_activation_norm,1.0,150640,19200,0.5051531667796728,0.47767971931324993,,,,0.039718614718614716
leave_one_ood_type_out,word_shuffle,deterministic_logistic,2.0,150640,19200,0.721499944583529,0.7091048667564817,0.23423477671363224,0.7218642424577852,0.13145081314030563,0.23495670995670995
leave_one_ood_type_out,word_shuffle,laplace_predictive_mean,2.0,150640,19200,0.7214250236878249,0.7089457020880381,0.23415660987101877,0.7213394203390933,0.13124246795572467,0.23517316017316017
leave_one_ood_type_out,word_shuffle,ridge_classifier,2.0,150640,19200,0.7328665201933274,0.7220675583462293,,,,0.25443722943722946
leave_one_ood_type_out,word_shuffle,mahalanobis,2.0,150640,19200,0.5703996233853161,0.5358072558846146,,,,0.08192640692640693
leave_one_ood_type_out,word_shuffle,standardized_activation_norm,2.0,150640,19200,0.49903532963020913,0.47795394181870376,,,,0.042316017316017314
leave_one_ood_type_out,word_shuffle,deterministic_logistic,3.0,150640,19200,0.7254886483162086,0.7071040983416116,0.23309627608553163,0.7128900606612464,0.1310932309088277,0.22424242424242424
leave_one_ood_type_out,word_shuffle,laplace_predictive_mean,3.0,150640,19200,0.7253979228602723,0.7069141854311127,0.23303305412120864,0.7123834684999757,0.1310501016872528,0.22272727272727272
leave_one_ood_type_out,word_shuffle,ridge_classifier,3.0,150640,19200,0.736886159356039,0.7205645059234683,,,,0.24134199134199133
leave_one_ood_type_out,word_shuffle,mahalanobis,3.0,150640,19200,0.5581285368747719,0.5181699839843126,,,,0.060497835497835495
leave_one_ood_type_out,word_shuffle,standardized_activation_norm,3.0,150640,19200,0.46535303008571083,0.45195347847592987,,,,0.03441558441558441
leave_one_ood_type_out,word_shuffle,deterministic_logistic,4.0,150640,19200,0.7287860804690625,0.7048417244178353,0.23430719465312308,0.7243585751851991,0.1411471745115603,0.21926406926406927
leave_one_ood_type_out,word_shuffle,laplace_predictive_mean,4.0,150640,19200,0.7286591061214556,0.7046488879129547,0.23427556756780993,0.7238932977552643,0.14095991819089854,0.21785714285714286
leave_one_ood_type_out,word_shuffle,ridge_classifier,4.0,150640,19200,0.7388979782767434,0.7152934323510951,,,,0.23062770562770563
leave_one_ood_type_out,word_shuffle,mahalanobis,4.0,150640,19200,0.5504893437385907,0.5089600594880693,,,,0.05054112554112554
leave_one_ood_type_out,word_shuffle,standardized_activation_norm,4.0,150640,19200,0.43773400419861264,0.42911307261081155,,,,0.020995670995670995
leave_one_ood_type_out,word_shuffle,deterministic_logistic,5.0,150640,19200,0.723924121811923,0.693466447283493,0.2399317010671767,0.7374766664503288,0.15300867278094615,0.1989177489177489
leave_one_ood_type_out,word_shuffle,laplace_predictive_mean,5.0,150640,19200,0.7239309891079468,0.6935030737990239,0.23978460788456293,0.736645537749336,0.15284096770672326,0.1998917748917749
leave_one_ood_type_out,word_shuffle,ridge_classifier,5.0,150640,19200,0.7320277756045829,0.7025223251764305,,,,0.20844155844155843
leave_one_ood_type_out,word_shuffle,mahalanobis,5.0,150640,19200,0.5467312920513222,0.5011965933949071,,,,0.048268398268398266
leave_one_ood_type_out,word_shuffle,standardized_activation_norm,5.0,150640,19200,0.42320359359515985,0.41708692135031916,,,,0.016233766233766232
